Area,Labor Force Participation,Weekly Wages 2023,Total Education 2023,DOE 2023,Area Type,FIPS,Total Pop 2023,Male Pop 2023,Female Pop 2023,White 2023,Black 2023,American Indian 2023,Asian 2023,Hispanic 2023,15 to 19 2023,20 to 24 2023,25 to 29 2023,30 to 34 2023,35 to 39 2023,40 to 44 2023,45 to 49 2023,50 to 54 2023,55 to 59 2023,60 to 64 2023,65 to 69 2023,70 to 74 2023,75 to 79 2023
Hampton city,0.68,1152,6650.2,0.652325492,Urban,650,144652,72935,71716,57773,74729,590,4931,6656,10270,11232,9874,9525,9351,9442,8594,8806,9260,8248,7485,5340,3400
Harrisonburg city,0.69,910,3731,0.721834599,Urban,660,52794,24646,28147,40333,2399,49,2257,7947,6656,9328,4845,3072,2846,2839,2264,2136,1965,1882,1606,1599,1265
Hopewell city,0.61,1202,1008.6,0.493121247,Urban,670,23501,11240,12260,11870,9744,76,466,1356,1210,1307,1536,1648,1664,1414,1364,1320,1364,1288,1271,1118,790
Lexington city,0.56,904,644.725,0.699,Urban,678,7415,3965,3451,6409,789,5,127,92,1146,1492,414,288,268,236,245,283,331,297,373,375,268
Lynchburg city,0.67,1109,7390.25,0.722880564,Urban,680,73726,33571,40155,42506,28252,134,1597,1315,6168,6238,4655,4392,4184,4285,3831,3850,3728,3499,3645,3340,2690
Manassas city,0.74,1602,3940.1,0.634012648,Urban,683,44896,23101,21795,17886,7868,109,3470,15767,2797,3066,3456,3496,3619,3282,2673,2641,2214,1790,1631,1422,1010
Manassas Park city,0.75,997,1176.7,0.739068712,Urban,685,15832,7990,7842,5754,2040,37,1361,6783,1008,852,1217,1358,1513,1263,1006,816,598,639,563,456,276
Martinsville city,0.66,827,1678.95,0.517742327,Urban,690,13952,6336,7616,6701,5866,2,172,1220,759,596,680,666,755,820,797,875,844,801,900,855,747
Newport News city,0.76,1311,8174.375,0.744705554,Urban,700,182700,88686,94014,73221,90281,695,7381,11183,13285,13899,13826,12176,10812,10380,10031,10029,10538,9474,7953,5938,3769
Norfolk city,0.79,1387,9837.95,0.810836874,Urban,710,237886,124306,113580,90471,126352,1002,8861,11250,20329,28037,17282,14439,13936,14076,13497,12371,12428,10896,9205,6390,3832
Norton city,0.53,880,668.3,0.924568014,Urban,720,3206,1473,1733,2804,238,#DIV/0!,72,93,171,157,198,174,218,191,213,228,192,245,197,164,112
Petersburg city,0.59,990,1306.875,0.461493778,Urban,730,30732,14428,16304,4944,24392,37,417,947,1848,1862,1873,1858,1755,1654,1664,1837,1862,1881,1784,1544,965
Poquoson city,0.70,808,912.25,0.822212384,Urban,735,12426,6201,6225,11651,145,38,372,227,654,562,606,616,717,628,665,766,959,1001,1101,867,546
Portsmouth city,0.69,1299,4200.45,0.673179862,Urban,740,100618,50142,50476,39235,56393,507,1535,2967,6929,6955,6352,6144,6280,6266,5917,6045,6118,5892,5159,3610,2188
Radford city,0.70,981,2629.125,0.913041569,Urban,750,17125,7862,9263,15531,988,27,420,176,2419,3536,1140,780,716,1000,934,664,746,619,652,582,465
Richmond city,0.69,1649,10461.15,0.638685763,Urban,760,187066,89056,98010,67044,103737,351,4372,11598,14450,16471,13400,11839,11002,11113,11127,10835,10572,9626,8292,6257,4010
Roanoke city,0.68,1186,5265.425,0.786756928,Urban,770,88501,42369,46131,55874,27856,167,1908,2702,5789,5763,5913,5349,4720,5157,5251,5443,5623,5423,4773,3950,2592
Salem city,0.71,1162,1821.425,0,Urban,775,24144,11612,12533,21260,2052,21,410,405,1812,1689,1448,1373,1383,1316,1286,1234,1380,1530,1637,1475,1005
Staunton city,0.71,865,1629.75,0.656280113,Urban,790,22230,10388,11842,18462,3273,36,162,299,1266,1196,1407,1342,1348,1223,1180,1337,1330,1396,1376,1401,1048
Suffolk city,0.70,1171,5495.025,0.745737836,Urban,800,129641,62724,66917,70706,55683,374,1907,2707,7322,7077,9383,9989,9966,8858,7888,8476,8792,8249,6008,4563,2855
Virginia Beach city,0.74,1083,27983.525,0.751615396,Urban,810,476843,234612,242231,280278,129318,1602,34306,31863,29540,33782,34912,33181,30563,27584,27706,27167,29602,26694,25231,19430,12700
Waynesboro city,0.67,898,1266.9,0.979307294,Urban,820,25947,12069,13878,21632,2970,53,279,1104,1265,1271,1615,1665,1548,1416,1267,1392,1545,1612,1565,1507,1200
Williamsburg city,0.81,1007,1290.475,0.860887515,Urban,830,13952,6388,7564,11693,1354,18,501,390,2276,3628,857,542,404,380,367,455,507,523,697,694,546
Winchester city,0.77,1106,3187.75,0.599874243,Urban,840,30193,14824,15369,22164,3347,72,783,3930,1674,1950,2413,2040,1947,1846,1798,1845,1861,1526,1641,1599,1217
